v9,v8,v7,v6,v5,v4,v3,v2,v1,v0,Detection
0.6809638,0.6203619,0.6124856,0.6309348,0.6627464,0.6724691,0.6685881,0.6707419,0.6599221,0.6738428,0.0
0.6203619,0.6124856,0.6309348,0.6627464,0.6724691,0.6685881,0.6707419,0.6599221,0.6738428,0.6995592,0.0
0.6124856,0.6309348,0.6627464,0.6724691,0.6685881,0.6707419,0.6599221,0.6738428,0.6995592,0.6969789,0.0
0.6309348,0.6627464,0.6724691,0.6685881,0.6707419,0.6599221,0.6738428,0.6995592,0.6969789,0.6894517,0.0
0.6627464,0.6724691,0.6685881,0.6707419,0.6599221,0.6738428,0.6995592,0.6969789,0.6894517,0.6552964,0.0
0.6724691,0.6685881,0.6707419,0.6599221,0.6738428,0.6995592,0.6969789,0.6894517,0.6552964,0.6853043,0.0
0.6685881,0.6707419,0.6599221,0.6738428,0.6995592,0.6969789,0.6894517,0.6552964,0.6853043,0.7061033,0.0
0.6707419,0.6599221,0.6738428,0.6995592,0.6969789,0.6894517,0.6552964,0.6853043,0.7061033,0.6837739,0.0
0.6599221,0.6738428,0.6995592,0.6969789,0.6894517,0.6552964,0.6853043,0.7061033,0.6837739,0.6283418,0.0
0.6738428,0.6995592,0.6969789,0.6894517,0.6552964,0.6853043,0.7061033,0.6837739,0.6283418,0.6230943,0.0
0.6995592,0.6969789,0.6894517,0.6552964,0.6853043,0.7061033,0.6837739,0.6283418,0.6230943,0.6290847,0.0
0.6969789,0.6894517,0.6552964,0.6853043,0.7061033,0.6837739,0.6283418,0.6230943,0.6290847,0.6292733,0.0
0.6894517,0.6552964,0.6853043,0.7061033,0.6837739,0.6283418,0.6230943,0.6290847,0.6292733,0.6233262,0.0
0.6552964,0.6853043,0.7061033,0.6837739,0.6283418,0.6230943,0.6290847,0.6292733,0.6233262,0.603777,0.0
0.6853043,0.7061033,0.6837739,0.6283418,0.6230943,0.6290847,0.6292733,0.6233262,0.603777,0.5841081,0.0
0.7061033,0.6837739,0.6283418,0.6230943,0.6290847,0.6292733,0.6233262,0.603777,0.5841081,0.5850245,0.0
0.6837739,0.6283418,0.6230943,0.6290847,0.6292733,0.6233262,0.603777,0.5841081,0.5850245,0.5356981,0.0
0.6283418,0.6230943,0.6290847,0.6292733,0.6233262,0.603777,0.5841081,0.5850245,0.5356981,0.5430523,0.0
0.6230943,0.6290847,0.6292733,0.6233262,0.603777,0.5841081,0.5850245,0.5356981,0.5430523,0.5747759,0.0
0.6290847,0.6292733,0.6233262,0.603777,0.5841081,0.5850245,0.5356981,0.5430523,0.5747759,0.5624601,0.0
0.6292733,0.6233262,0.603777,0.5841081,0.5850245,0.5356981,0.5430523,0.5747759,0.5624601,0.53563,0.0
0.6233262,0.603777,0.5841081,0.5850245,0.5356981,0.5430523,0.5747759,0.5624601,0.53563,0.5298463,0.0
0.603777,0.5841081,0.5850245,0.5356981,0.5430523,0.5747759,0.5624601,0.53563,0.5298463,0.5465596,0.0
0.5841081,0.5850245,0.5356981,0.5430523,0.5747759,0.5624601,0.53563,0.5298463,0.5465596,0.5450038,0.0
0.5850245,0.5356981,0.5430523,0.5747759,0.5624601,0.53563,0.5298463,0.5465596,0.5450038,0.5591185,0.0
0.5356981,0.5430523,0.5747759,0.5624601,0.53563,0.5298463,0.5465596,0.5450038,0.5591185,0.5870643,0.0
0.5430523,0.5747759,0.5624601,0.53563,0.5298463,0.5465596,0.5450038,0.5591185,0.5870643,0.5729907,0.0
0.5747759,0.5624601,0.53563,0.5298463,0.5465596,0.5450038,0.5591185,0.5870643,0.5729907,0.5986698,0.0
0.5624601,0.53563,0.5298463,0.5465596,0.5450038,0.5591185,0.5870643,0.5729907,0.5986698,0.5951229,0.0
0.53563,0.5298463,0.5465596,0.5450038,0.5591185,0.5870643,0.5729907,0.5986698,0.5951229,0.6133681,0.0
0.5298463,0.5465596,0.5450038,0.5591185,0.5870643,0.5729907,0.5986698,0.5951229,0.6133681,0.5922224,0.0
0.5465596,0.5450038,0.5591185,0.5870643,0.5729907,0.5986698,0.5951229,0.6133681,0.5922224,0.5800178,0.0
0.5450038,0.5591185,0.5870643,0.5729907,0.5986698,0.5951229,0.6133681,0.5922224,0.5800178,0.5811768,0.0
0.5591185,0.5870643,0.5729907,0.5986698,0.5951229,0.6133681,0.5922224,0.5800178,0.5811768,0.5798481,0.0
0.5870643,0.5729907,0.5986698,0.5951229,0.6133681,0.5922224,0.5800178,0.5811768,0.5798481,0.614646,0.0
0.5729907,0.5986698,0.5951229,0.6133681,0.5922224,0.5800178,0.5811768,0.5798481,0.614646,0.6245142,0.0
0.5986698,0.5951229,0.6133681,0.5922224,0.5800178,0.5811768,0.5798481,0.614646,0.6245142,0.6056942,0.0
0.5951229,0.6133681,0.5922224,0.5800178,0.5811768,0.5798481,0.614646,0.6245142,0.6056942,0.5942552,0.0
0.6133681,0.5922224,0.5800178,0.5811768,0.5798481,0.614646,0.6245142,0.6056942,0.5942552,0.5766992,0.0
0.5922224,0.5800178,0.5811768,0.5798481,0.614646,0.6245142,0.6056942,0.5942552,0.5766992,0.5773882,0.0
0.5800178,0.5811768,0.5798481,0.614646,0.6245142,0.6056942,0.5942552,0.5766992,0.5773882,0.5535828,0.0
0.5811768,0.5798481,0.614646,0.6245142,0.6056942,0.5942552,0.5766992,0.5773882,0.5535828,0.5244137,0.0
0.5798481,0.614646,0.6245142,0.6056942,0.5942552,0.5766992,0.5773882,0.5535828,0.5244137,0.5409704,0.0
0.614646,0.6245142,0.6056942,0.5942552,0.5766992,0.5773882,0.5535828,0.5244137,0.5409704,0.5701098,0.0
0.6245142,0.6056942,0.5942552,0.5766992,0.5773882,0.5535828,0.5244137,0.5409704,0.5701098,0.5388635,0.0
0.6056942,0.5942552,0.5766992,0.5773882,0.5535828,0.5244137,0.5409704,0.5701098,0.5388635,0.536544,0.0
0.5942552,0.5766992,0.5773882,0.5535828,0.5244137,0.5409704,0.5701098,0.5388635,0.536544,0.5490233,0.0
0.5766992,0.5773882,0.5535828,0.5244137,0.5409704,0.5701098,0.5388635,0.536544,0.5490233,0.5349106,0.0
0.5773882,0.5535828,0.5244137,0.5409704,0.5701098,0.5388635,0.536544,0.5490233,0.5349106,0.5324218,0.0
0.5535828,0.5244137,0.5409704,0.5701098,0.5388635,0.536544,0.5490233,0.5349106,0.5324218,0.5613588,0.0
0.5244137,0.5409704,0.5701098,0.5388635,0.536544,0.5490233,0.5349106,0.5324218,0.5613588,0.5807709,0.0
0.5409704,0.5701098,0.5388635,0.536544,0.5490233,0.5349106,0.5324218,0.5613588,0.5807709,0.6044796,0.0
0.5701098,0.5388635,0.536544,0.5490233,0.5349106,0.5324218,0.5613588,0.5807709,0.6044796,0.6074072,0.0
0.5388635,0.536544,0.5490233,0.5349106,0.5324218,0.5613588,0.5807709,0.6044796,0.6074072,0.6056024,0.0
0.536544,0.5490233,0.5349106,0.5324218,0.5613588,0.5807709,0.6044796,0.6074072,0.6056024,0.5756541,0.0
0.5490233,0.5349106,0.5324218,0.5613588,0.5807709,0.6044796,0.6074072,0.6056024,0.5756541,0.5611709,0.0
0.5349106,0.5324218,0.5613588,0.5807709,0.6044796,0.6074072,0.6056024,0.5756541,0.5611709,0.5514061,0.0
0.5324218,0.5613588,0.5807709,0.6044796,0.6074072,0.6056024,0.5756541,0.5611709,0.5514061,0.5810444,0.0
0.5613588,0.5807709,0.6044796,0.6074072,0.6056024,0.5756541,0.5611709,0.5514061,0.5810444,0.5492114,0.0
0.5807709,0.6044796,0.6074072,0.6056024,0.5756541,0.5611709,0.5514061,0.5810444,0.5492114,0.5175983,0.0
0.6044796,0.6074072,0.6056024,0.5756541,0.5611709,0.5514061,0.5810444,0.5492114,0.5175983,0.5260825,0.0
0.6074072,0.6056024,0.5756541,0.5611709,0.5514061,0.5810444,0.5492114,0.5175983,0.5260825,0.5172742,0.0
0.6056024,0.5756541,0.5611709,0.5514061,0.5810444,0.5492114,0.5175983,0.5260825,0.5172742,0.5173785,0.0
0.5756541,0.5611709,0.5514061,0.5810444,0.5492114,0.5175983,0.5260825,0.5172742,0.5173785,0.501243,0.0
0.5611709,0.5514061,0.5810444,0.5492114,0.5175983,0.5260825,0.5172742,0.5173785,0.501243,0.4631756,0.0
0.5514061,0.5810444,0.5492114,0.5175983,0.5260825,0.5172742,0.5173785,0.501243,0.4631756,0.4793047,0.0
0.5810444,0.5492114,0.5175983,0.5260825,0.5172742,0.5173785,0.501243,0.4631756,0.4793047,0.4974264,0.0
0.5492114,0.5175983,0.5260825,0.5172742,0.5173785,0.501243,0.4631756,0.4793047,0.4974264,0.497483,0.0
0.5175983,0.5260825,0.5172742,0.5173785,0.501243,0.4631756,0.4793047,0.4974264,0.497483,0.5197758,0.0
0.5260825,0.5172742,0.5173785,0.501243,0.4631756,0.4793047,0.4974264,0.497483,0.5197758,0.5284275,0.0
0.5172742,0.5173785,0.501243,0.4631756,0.4793047,0.4974264,0.497483,0.5197758,0.5284275,0.5267902,0.0
0.5173785,0.501243,0.4631756,0.4793047,0.4974264,0.497483,0.5197758,0.5284275,0.5267902,0.5391805,0.0
0.501243,0.4631756,0.4793047,0.4974264,0.497483,0.5197758,0.5284275,0.5267902,0.5391805,0.5516914,0.0
0.4631756,0.4793047,0.4974264,0.497483,0.5197758,0.5284275,0.5267902,0.5391805,0.5516914,0.5617385,0.0
