v9,v8,v7,v6,v5,v4,v3,v2,v1,v0,Detection
-0.0302068,-0.0185557,-0.0137944,-0.0070609,-0.0100064,-0.0071035,-0.0004712,0.0034652,-0.0039218,0.0040039,0.0
-0.0185557,-0.0137944,-0.0070609,-0.0100064,-0.0071035,-0.0004712,0.0034652,-0.0039218,0.0040039,0.0041568,0.0
-0.0137944,-0.0070609,-0.0100064,-0.0071035,-0.0004712,0.0034652,-0.0039218,0.0040039,0.0041568,-0.0010636,0.0
-0.0070609,-0.0100064,-0.0071035,-0.0004712,0.0034652,-0.0039218,0.0040039,0.0041568,-0.0010636,0.0058,0.0
-0.0100064,-0.0071035,-0.0004712,0.0034652,-0.0039218,0.0040039,0.0041568,-0.0010636,0.0058,0.0095518,0.0
-0.0071035,-0.0004712,0.0034652,-0.0039218,0.0040039,0.0041568,-0.0010636,0.0058,0.0095518,0.0260906,0.0
-0.0004712,0.0034652,-0.0039218,0.0040039,0.0041568,-0.0010636,0.0058,0.0095518,0.0260906,0.0099731,0.0
0.0034652,-0.0039218,0.0040039,0.0041568,-0.0010636,0.0058,0.0095518,0.0260906,0.0099731,0.0111839,0.0
-0.0039218,0.0040039,0.0041568,-0.0010636,0.0058,0.0095518,0.0260906,0.0099731,0.0111839,0.0096787,0.0
0.0040039,0.0041568,-0.0010636,0.0058,0.0095518,0.0260906,0.0099731,0.0111839,0.0096787,0.0284835,0.0
0.0041568,-0.0010636,0.0058,0.0095518,0.0260906,0.0099731,0.0111839,0.0096787,0.0284835,0.0097049,0.0
-0.0010636,0.0058,0.0095518,0.0260906,0.0099731,0.0111839,0.0096787,0.0284835,0.0097049,-0.0040626,0.0
0.0058,0.0095518,0.0260906,0.0099731,0.0111839,0.0096787,0.0284835,0.0097049,-0.0040626,-0.0119844,0.0
0.0095518,0.0260906,0.0099731,0.0111839,0.0096787,0.0284835,0.0097049,-0.0040626,-0.0119844,-0.0218909,0.0
0.0260906,0.0099731,0.0111839,0.0096787,0.0284835,0.0097049,-0.0040626,-0.0119844,-0.0218909,-0.0321986,0.0
0.0099731,0.0111839,0.0096787,0.0284835,0.0097049,-0.0040626,-0.0119844,-0.0218909,-0.0321986,-0.0446158,0.0
0.0111839,0.0096787,0.0284835,0.0097049,-0.0040626,-0.0119844,-0.0218909,-0.0321986,-0.0446158,-0.037771,0.0
0.0096787,0.0284835,0.0097049,-0.0040626,-0.0119844,-0.0218909,-0.0321986,-0.0446158,-0.037771,-0.051582,0.0
0.0284835,0.0097049,-0.0040626,-0.0119844,-0.0218909,-0.0321986,-0.0446158,-0.037771,-0.051582,-0.0401551,0.0
0.0097049,-0.0040626,-0.0119844,-0.0218909,-0.0321986,-0.0446158,-0.037771,-0.051582,-0.0401551,-0.0528447,0.0
-0.0040626,-0.0119844,-0.0218909,-0.0321986,-0.0446158,-0.037771,-0.051582,-0.0401551,-0.0528447,-0.0357337,0.0
-0.0119844,-0.0218909,-0.0321986,-0.0446158,-0.037771,-0.051582,-0.0401551,-0.0528447,-0.0357337,-0.0176006,0.0
-0.0218909,-0.0321986,-0.0446158,-0.037771,-0.051582,-0.0401551,-0.0528447,-0.0357337,-0.0176006,-0.0106051,0.0
-0.0321986,-0.0446158,-0.037771,-0.051582,-0.0401551,-0.0528447,-0.0357337,-0.0176006,-0.0106051,0.0078633,0.0
-0.0446158,-0.037771,-0.051582,-0.0401551,-0.0528447,-0.0357337,-0.0176006,-0.0106051,0.0078633,0.0164524,0.0
-0.037771,-0.051582,-0.0401551,-0.0528447,-0.0357337,-0.0176006,-0.0106051,0.0078633,0.0164524,0.0302858,0.0
-0.051582,-0.0401551,-0.0528447,-0.0357337,-0.0176006,-0.0106051,0.0078633,0.0164524,0.0302858,0.036739,0.0
-0.0401551,-0.0528447,-0.0357337,-0.0176006,-0.0106051,0.0078633,0.0164524,0.0302858,0.036739,0.0392307,0.0
-0.0528447,-0.0357337,-0.0176006,-0.0106051,0.0078633,0.0164524,0.0302858,0.036739,0.0392307,0.0274541,0.0
-0.0357337,-0.0176006,-0.0106051,0.0078633,0.0164524,0.0302858,0.036739,0.0392307,0.0274541,0.0336447,0.0
-0.0176006,-0.0106051,0.0078633,0.0164524,0.0302858,0.036739,0.0392307,0.0274541,0.0336447,0.0355605,0.0
-0.0106051,0.0078633,0.0164524,0.0302858,0.036739,0.0392307,0.0274541,0.0336447,0.0355605,0.0250516,0.0
0.0078633,0.0164524,0.0302858,0.036739,0.0392307,0.0274541,0.0336447,0.0355605,0.0250516,0.028346,0.0
0.0164524,0.0302858,0.036739,0.0392307,0.0274541,0.0336447,0.0355605,0.0250516,0.028346,0.0226421,0.0
0.0302858,0.036739,0.0392307,0.0274541,0.0336447,0.0355605,0.0250516,0.028346,0.0226421,0.0232736,0.0
0.036739,0.0392307,0.0274541,0.0336447,0.0355605,0.0250516,0.028346,0.0226421,0.0232736,0.0226053,0.0
0.0392307,0.0274541,0.0336447,0.0355605,0.0250516,0.028346,0.0226421,0.0232736,0.0226053,0.0275002,0.0
0.0274541,0.0336447,0.0355605,0.0250516,0.028346,0.0226421,0.0232736,0.0226053,0.0275002,0.0403973,0.0
0.0336447,0.0355605,0.0250516,0.028346,0.0226421,0.0232736,0.0226053,0.0275002,0.0403973,0.0481816,0.0
0.0355605,0.0250516,0.028346,0.0226421,0.0232736,0.0226053,0.0275002,0.0403973,0.0481816,0.04978,0.0
0.0250516,0.028346,0.0226421,0.0232736,0.0226053,0.0275002,0.0403973,0.0481816,0.04978,0.0380686,0.0
0.028346,0.0226421,0.0232736,0.0226053,0.0275002,0.0403973,0.0481816,0.04978,0.0380686,0.0488634,0.0
0.0226421,0.0232736,0.0226053,0.0275002,0.0403973,0.0481816,0.04978,0.0380686,0.0488634,0.0444851,0.0
0.0232736,0.0226053,0.0275002,0.0403973,0.0481816,0.04978,0.0380686,0.0488634,0.0444851,0.0333972,0.0
0.0226053,0.0275002,0.0403973,0.0481816,0.04978,0.0380686,0.0488634,0.0444851,0.0333972,0.0334451,0.0
0.0275002,0.0403973,0.0481816,0.04978,0.0380686,0.0488634,0.0444851,0.0333972,0.0334451,0.0337061,0.0
0.0403973,0.0481816,0.04978,0.0380686,0.0488634,0.0444851,0.0333972,0.0334451,0.0337061,0.0169467,0.0
0.0481816,0.04978,0.0380686,0.0488634,0.0444851,0.0333972,0.0334451,0.0337061,0.0169467,0.0034283,0.0
0.04978,0.0380686,0.0488634,0.0444851,0.0333972,0.0334451,0.0337061,0.0169467,0.0034283,-0.0039864,0.0
0.0380686,0.0488634,0.0444851,0.0333972,0.0334451,0.0337061,0.0169467,0.0034283,-0.0039864,0.0001187,0.0
0.0488634,0.0444851,0.0333972,0.0334451,0.0337061,0.0169467,0.0034283,-0.0039864,0.0001187,4.17e-05,0.0
0.0444851,0.0333972,0.0334451,0.0337061,0.0169467,0.0034283,-0.0039864,0.0001187,4.17e-05,-0.0131404,0.0
0.0333972,0.0334451,0.0337061,0.0169467,0.0034283,-0.0039864,0.0001187,4.17e-05,-0.0131404,-0.0228025,0.0
0.0334451,0.0337061,0.0169467,0.0034283,-0.0039864,0.0001187,4.17e-05,-0.0131404,-0.0228025,-0.004639,0.0
0.0337061,0.0169467,0.0034283,-0.0039864,0.0001187,4.17e-05,-0.0131404,-0.0228025,-0.004639,0.0002173,0.0
0.0169467,0.0034283,-0.0039864,0.0001187,4.17e-05,-0.0131404,-0.0228025,-0.004639,0.0002173,-0.0039906,0.0
0.0034283,-0.0039864,0.0001187,4.17e-05,-0.0131404,-0.0228025,-0.004639,0.0002173,-0.0039906,-0.0013826,0.0
-0.0039864,0.0001187,4.17e-05,-0.0131404,-0.0228025,-0.004639,0.0002173,-0.0039906,-0.0013826,-0.0015269,0.0
0.0001187,4.17e-05,-0.0131404,-0.0228025,-0.004639,0.0002173,-0.0039906,-0.0013826,-0.0015269,0.0043992,0.0
4.17e-05,-0.0131404,-0.0228025,-0.004639,0.0002173,-0.0039906,-0.0013826,-0.0015269,0.0043992,-0.0049268,0.0
-0.0131404,-0.0228025,-0.004639,0.0002173,-0.0039906,-0.0013826,-0.0015269,0.0043992,-0.0049268,-0.0024614,0.0
-0.0228025,-0.004639,0.0002173,-0.0039906,-0.0013826,-0.0015269,0.0043992,-0.0049268,-0.0024614,-0.0035191,0.0
-0.004639,0.0002173,-0.0039906,-0.0013826,-0.0015269,0.0043992,-0.0049268,-0.0024614,-0.0035191,-0.0002455,0.0
0.0002173,-0.0039906,-0.0013826,-0.0015269,0.0043992,-0.0049268,-0.0024614,-0.0035191,-0.0002455,-0.0083349,0.0
-0.0039906,-0.0013826,-0.0015269,0.0043992,-0.0049268,-0.0024614,-0.0035191,-0.0002455,-0.0083349,-0.0061005,0.0
-0.0013826,-0.0015269,0.0043992,-0.0049268,-0.0024614,-0.0035191,-0.0002455,-0.0083349,-0.0061005,-0.0165521,0.0
-0.0015269,0.0043992,-0.0049268,-0.0024614,-0.0035191,-0.0002455,-0.0083349,-0.0061005,-0.0165521,-0.0177921,0.0
