v9,v8,v7,v6,v5,v4,v3,v2,v1,v0,Detection
-0.001,0.031,0.024,0.008,0.0,-0.014,-0.011,-0.028,-0.015,-0.017,0.0
0.031,0.024,0.008,0.0,-0.014,-0.011,-0.028,-0.015,-0.017,0.008,0.0
0.024,0.008,0.0,-0.014,-0.011,-0.028,-0.015,-0.017,0.008,-0.008,0.0
0.008,0.0,-0.014,-0.011,-0.028,-0.015,-0.017,0.008,-0.008,-0.007,0.0
0.0,-0.014,-0.011,-0.028,-0.015,-0.017,0.008,-0.008,-0.007,0.007,0.0
-0.014,-0.011,-0.028,-0.015,-0.017,0.008,-0.008,-0.007,0.007,0.03,0.0
-0.011,-0.028,-0.015,-0.017,0.008,-0.008,-0.007,0.007,0.03,0.026,0.0
-0.028,-0.015,-0.017,0.008,-0.008,-0.007,0.007,0.03,0.026,0.01,0.0
-0.015,-0.017,0.008,-0.008,-0.007,0.007,0.03,0.026,0.01,0.026,0.0
-0.017,0.008,-0.008,-0.007,0.007,0.03,0.026,0.01,0.026,0.049,0.0
0.008,-0.008,-0.007,0.007,0.03,0.026,0.01,0.026,0.049,0.056,0.0
-0.008,-0.007,0.007,0.03,0.026,0.01,0.026,0.049,0.056,0.037,0.0
-0.007,0.007,0.03,0.026,0.01,0.026,0.049,0.056,0.037,0.041,0.0
0.007,0.03,0.026,0.01,0.026,0.049,0.056,0.037,0.041,0.036,0.0
0.03,0.026,0.01,0.026,0.049,0.056,0.037,0.041,0.036,0.016,0.0
0.026,0.01,0.026,0.049,0.056,0.037,0.041,0.036,0.016,0.023,0.0
0.01,0.026,0.049,0.056,0.037,0.041,0.036,0.016,0.023,0.019,0.0
0.026,0.049,0.056,0.037,0.041,0.036,0.016,0.023,0.019,0.037,0.0
0.049,0.056,0.037,0.041,0.036,0.016,0.023,0.019,0.037,0.037,0.0
0.056,0.037,0.041,0.036,0.016,0.023,0.019,0.037,0.037,0.028,0.0
0.037,0.041,0.036,0.016,0.023,0.019,0.037,0.037,0.028,0.033,0.0
0.041,0.036,0.016,0.023,0.019,0.037,0.037,0.028,0.033,0.028,0.0
0.036,0.016,0.023,0.019,0.037,0.037,0.028,0.033,0.028,0.028,0.0
0.016,0.023,0.019,0.037,0.037,0.028,0.033,0.028,0.028,0.014,0.0
0.023,0.019,0.037,0.037,0.028,0.033,0.028,0.028,0.014,0.042,0.0
0.019,0.037,0.037,0.028,0.033,0.028,0.028,0.014,0.042,0.023,0.0
0.037,0.037,0.028,0.033,0.028,0.028,0.014,0.042,0.023,0.023,0.0
0.037,0.028,0.033,0.028,0.028,0.014,0.042,0.023,0.023,0.02,0.0
0.028,0.033,0.028,0.028,0.014,0.042,0.023,0.023,0.02,0.02,0.0
0.033,0.028,0.028,0.014,0.042,0.023,0.023,0.02,0.02,0.006,0.0
0.028,0.028,0.014,0.042,0.023,0.023,0.02,0.02,0.006,0.002,0.0
0.028,0.014,0.042,0.023,0.023,0.02,0.02,0.006,0.002,0.001,0.0
0.014,0.042,0.023,0.023,0.02,0.02,0.006,0.002,0.001,-0.012,0.0
0.042,0.023,0.023,0.02,0.02,0.006,0.002,0.001,-0.012,0.02,0.0
0.023,0.023,0.02,0.02,0.006,0.002,0.001,-0.012,0.02,0.011,0.0
0.023,0.02,0.02,0.006,0.002,0.001,-0.012,0.02,0.011,-0.006,0.0
0.02,0.02,0.006,0.002,0.001,-0.012,0.02,0.011,-0.006,0.006,0.0
0.02,0.006,0.002,0.001,-0.012,0.02,0.011,-0.006,0.006,0.005,0.0
0.006,0.002,0.001,-0.012,0.02,0.011,-0.006,0.006,0.005,-0.001,0.0
0.002,0.001,-0.012,0.02,0.011,-0.006,0.006,0.005,-0.001,-0.0,0.0
0.001,-0.012,0.02,0.011,-0.006,0.006,0.005,-0.001,-0.0,-0.024,0.0
-0.012,0.02,0.011,-0.006,0.006,0.005,-0.001,-0.0,-0.024,-0.014,0.0
0.02,0.011,-0.006,0.006,0.005,-0.001,-0.0,-0.024,-0.014,-0.001,0.0
0.011,-0.006,0.006,0.005,-0.001,-0.0,-0.024,-0.014,-0.001,-0.016,0.0
-0.006,0.006,0.005,-0.001,-0.0,-0.024,-0.014,-0.001,-0.016,-0.006,0.0
0.006,0.005,-0.001,-0.0,-0.024,-0.014,-0.001,-0.016,-0.006,0.011,0.0
0.005,-0.001,-0.0,-0.024,-0.014,-0.001,-0.016,-0.006,0.011,-0.007,0.0
-0.001,-0.0,-0.024,-0.014,-0.001,-0.016,-0.006,0.011,-0.007,-0.0,0.0
-0.0,-0.024,-0.014,-0.001,-0.016,-0.006,0.011,-0.007,-0.0,-0.004,0.0
-0.024,-0.014,-0.001,-0.016,-0.006,0.011,-0.007,-0.0,-0.004,-0.0,0.0
-0.014,-0.001,-0.016,-0.006,0.011,-0.007,-0.0,-0.004,-0.0,0.027,0.0
-0.001,-0.016,-0.006,0.011,-0.007,-0.0,-0.004,-0.0,0.027,0.022,0.0
-0.016,-0.006,0.011,-0.007,-0.0,-0.004,-0.0,0.027,0.022,0.031,0.0
-0.006,0.011,-0.007,-0.0,-0.004,-0.0,0.027,0.022,0.031,0.051,0.0
0.011,-0.007,-0.0,-0.004,-0.0,0.027,0.022,0.031,0.051,0.024,0.0
-0.007,-0.0,-0.004,-0.0,0.027,0.022,0.031,0.051,0.024,0.024,0.0
-0.0,-0.004,-0.0,0.027,0.022,0.031,0.051,0.024,0.024,0.033,0.0
-0.004,-0.0,0.027,0.022,0.031,0.051,0.024,0.024,0.033,0.017,0.0
-0.0,0.027,0.022,0.031,0.051,0.024,0.024,0.033,0.017,0.023,0.0
0.027,0.022,0.031,0.051,0.024,0.024,0.033,0.017,0.023,0.006,0.0
0.022,0.031,0.051,0.024,0.024,0.033,0.017,0.023,0.006,-0.002,0.0
0.031,0.051,0.024,0.024,0.033,0.017,0.023,0.006,-0.002,-0.008,0.0
0.051,0.024,0.024,0.033,0.017,0.023,0.006,-0.002,-0.008,-0.029,0.0
0.024,0.024,0.033,0.017,0.023,0.006,-0.002,-0.008,-0.029,-0.056,0.0
0.024,0.033,0.017,0.023,0.006,-0.002,-0.008,-0.029,-0.056,-0.06,0.0
0.033,0.017,0.023,0.006,-0.002,-0.008,-0.029,-0.056,-0.06,-0.072,0.0
0.017,0.023,0.006,-0.002,-0.008,-0.029,-0.056,-0.06,-0.072,-0.079,0.0
0.023,0.006,-0.002,-0.008,-0.029,-0.056,-0.06,-0.072,-0.079,-0.087,0.0
0.006,-0.002,-0.008,-0.029,-0.056,-0.06,-0.072,-0.079,-0.087,-0.094,0.0
-0.002,-0.008,-0.029,-0.056,-0.06,-0.072,-0.079,-0.087,-0.094,-0.089,0.0
-0.008,-0.029,-0.056,-0.06,-0.072,-0.079,-0.087,-0.094,-0.089,-0.067,0.0
-0.029,-0.056,-0.06,-0.072,-0.079,-0.087,-0.094,-0.089,-0.067,-0.064,0.0
-0.056,-0.06,-0.072,-0.079,-0.087,-0.094,-0.089,-0.067,-0.064,-0.054,0.0
-0.06,-0.072,-0.079,-0.087,-0.094,-0.089,-0.067,-0.064,-0.054,-0.046,0.0
-0.072,-0.079,-0.087,-0.094,-0.089,-0.067,-0.064,-0.054,-0.046,-0.017,0.0
-0.079,-0.087,-0.094,-0.089,-0.067,-0.064,-0.054,-0.046,-0.017,-0.002,0.0
-0.087,-0.094,-0.089,-0.067,-0.064,-0.054,-0.046,-0.017,-0.002,0.007,0.0
-0.094,-0.089,-0.067,-0.064,-0.054,-0.046,-0.017,-0.002,0.007,0.02,0.0
-0.089,-0.067,-0.064,-0.054,-0.046,-0.017,-0.002,0.007,0.02,0.027,0.0
-0.067,-0.064,-0.054,-0.046,-0.017,-0.002,0.007,0.02,0.027,0.019,0.0
-0.064,-0.054,-0.046,-0.017,-0.002,0.007,0.02,0.027,0.019,0.003,0.0
-0.054,-0.046,-0.017,-0.002,0.007,0.02,0.027,0.019,0.003,0.008,0.0
-0.046,-0.017,-0.002,0.007,0.02,0.027,0.019,0.003,0.008,-0.005,0.0
-0.017,-0.002,0.007,0.02,0.027,0.019,0.003,0.008,-0.005,-0.02,0.0
-0.002,0.007,0.02,0.027,0.019,0.003,0.008,-0.005,-0.02,-0.043,0.0
