run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
RandomCoordinatedInjectionNoGui-5-20200606-17:25:09-8700,runattr,,,runnumber,5,,,
RandomCoordinatedInjectionNoGui-5-20200606-17:25:09-8700,runattr,,,seedset,0,,,
RandomCoordinatedInjectionNoGui-5-20200606-17:25:09-8700,itervar,,,attackStart,10,,,
RandomCoordinatedInjectionNoGui-5-20200606-17:25:09-8700,itervar,,,beaconInterval,0.1,,,
RandomCoordinatedInjectionNoGui-5-20200606-17:25:09-8700,itervar,,,controller,3,,,
RandomCoordinatedInjectionNoGui-5-20200606-17:25:09-8700,itervar,,,headway,0,,,
RandomCoordinatedInjectionNoGui-5-20200606-17:25:09-8700,itervar,,,leaderHeadway,2,,,
RandomCoordinatedInjectionNoGui-5-20200606-17:25:09-8700,itervar,,,leaderSpeed,100,,,
RandomCoordinatedInjectionNoGui-5-20200606-17:25:09-8700,itervar,,,nCars,8,,,
RandomCoordinatedInjectionNoGui-5-20200606-17:25:09-8700,itervar,,,nLanes,1,,,
RandomCoordinatedInjectionNoGui-5-20200606-17:25:09-8700,itervar,,,packetSize,200,,,
RandomCoordinatedInjectionNoGui-5-20200606-17:25:09-8700,itervar,,,platoonSize,8,,,
RandomCoordinatedInjectionNoGui-5-20200606-17:25:09-8700,itervar,,,priority,4,,,
RandomCoordinatedInjectionNoGui-5-20200606-17:25:09-8700,itervar,,,radar,true,,,
RandomCoordinatedInjectionNoGui-5-20200606-17:25:09-8700,itervar,,,sController,"""FLATBED""",,,
RandomCoordinatedInjectionNoGui-5-20200606-17:25:09-8700,itervar,,,spacing,10,,,
RandomCoordinatedInjectionNoGui-5-20200606-17:25:09-8700,param,,,*.node[*].scenario_type,"""RandomScenario""",,,
RandomCoordinatedInjectionNoGui-5-20200606-17:25:09-8700,param,,,*.node[*].scenario.avgSpeed,100kmph,,,
RandomCoordinatedInjectionNoGui-5-20200606-17:25:09-8700,param,,,*.node[*].scenario.maxSpeed,150kmph,,,
RandomCoordinatedInjectionNoGui-5-20200606-17:25:09-8700,param,,,**.traffic.platoonInsertSpeed,100kmph,,,
RandomCoordinatedInjectionNoGui-5-20200606-17:25:09-8700,param,,,*.node[*].scenario.startTime,5s,,,
RandomCoordinatedInjectionNoGui-5-20200606-17:25:09-8700,param,,,*.node[*].scenario.accelerationProbability,0.2,,,
RandomCoordinatedInjectionNoGui-5-20200606-17:25:09-8700,param,,,*.node[*].scenario.decelerationProbability,0.2,,,
RandomCoordinatedInjectionNoGui-5-20200606-17:25:09-8700,param,,,*.node[*].scenario.avgAcceleration,0.50mpsps,,,
RandomCoordinatedInjectionNoGui-5-20200606-17:25:09-8700,param,,,*.node[*].scenario.avgDeceleration,0.75mpsps,,,
RandomCoordinatedInjectionNoGui-5-20200606-17:25:09-8700,param,,,*.node[*].scenario.minStepDuration,0.5s,,,
RandomCoordinatedInjectionNoGui-5-20200606-17:25:09-8700,param,,,*.node[*].scenario.meanStepDuration,2s,,,
RandomCoordinatedInjectionNoGui-5-20200606-17:25:09-8700,param,,,*.node[*].prot.coordinatedAttack,true,,,
RandomCoordinatedInjectionNoGui-5-20200606-17:25:09-8700,param,,,*.node[*].prot.accelerationInjectionRate,0.05mpspsps,,,
RandomCoordinatedInjectionNoGui-5-20200606-17:25:09-8700,param,,,*.node[*].prot.accelerationInjectionLimit,1mpsps,,,
RandomCoordinatedInjectionNoGui-5-20200606-17:25:09-8700,param,,,*.node[0].protocol_type,"""InjectedBeaconing""",,,
RandomCoordinatedInjectionNoGui-5-20200606-17:25:09-8700,param,,,*.node[*].prot.attackStart,10s,,,
RandomCoordinatedInjectionNoGui-5-20200606-17:25:09-8700,param,,,*.manager.useGui,false,,,
RandomCoordinatedInjectionNoGui-5-20200606-17:25:09-8700,param,,,*.playgroundSizeX,65000m,,,
RandomCoordinatedInjectionNoGui-5-20200606-17:25:09-8700,param,,,*.playgroundSizeY,25000m,,,
RandomCoordinatedInjectionNoGui-5-20200606-17:25:09-8700,param,,,*.playgroundSizeZ,50m,,,
RandomCoordinatedInjectionNoGui-5-20200606-17:25:09-8700,param,,,**.debug,false,,,
RandomCoordinatedInjectionNoGui-5-20200606-17:25:09-8700,param,,,**.coreDebug,false,,,
RandomCoordinatedInjectionNoGui-5-20200606-17:25:09-8700,param,,,*.annotations.draw,false,,,
RandomCoordinatedInjectionNoGui-5-20200606-17:25:09-8700,param,,,*.obstacles.debug,false,,,
RandomCoordinatedInjectionNoGui-5-20200606-17:25:09-8700,param,,,*.world.useTorus,false,,,
RandomCoordinatedInjectionNoGui-5-20200606-17:25:09-8700,param,,,*.world.use2D,false,,,
RandomCoordinatedInjectionNoGui-5-20200606-17:25:09-8700,param,,,*.manager.updateInterval,0.01s,,,
RandomCoordinatedInjectionNoGui-5-20200606-17:25:09-8700,param,,,*.manager.host,"""localhost""",,,
RandomCoordinatedInjectionNoGui-5-20200606-17:25:09-8700,param,,,*.manager.moduleType,"""org.car2x.veins.modules.application.platooning.PlatoonCar""",,,
