run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
SinusoidalSpeedInjectionNoGui-5-20200606-17:21:43-7714,param,,,**.traffic.platooningVType,"""vtypeauto""",,,
SinusoidalSpeedInjectionNoGui-5-20200606-17:21:43-7714,param,,,**.traffic.platoonInsertDistance,10m,,,
SinusoidalSpeedInjectionNoGui-5-20200606-17:21:43-7714,param,,,**.traffic.platoonInsertHeadway,0s,,,
SinusoidalSpeedInjectionNoGui-5-20200606-17:21:43-7714,param,,,**.traffic.platoonLeaderHeadway,2s,,,
SinusoidalSpeedInjectionNoGui-5-20200606-17:21:43-7714,param,,,*.node[*].sensors[8].minValue,0,,,
SinusoidalSpeedInjectionNoGui-5-20200606-17:21:43-7714,param,,,*.node[*].sensors[8].maxValue,250,,,
SinusoidalSpeedInjectionNoGui-5-20200606-17:21:43-7714,param,,,*.node[*].scenario_type,"""SinusoidalScenario""",,,
SinusoidalSpeedInjectionNoGui-5-20200606-17:21:43-7714,param,,,*.node[*].scenario.leaderSpeed,100kmph,,,
SinusoidalSpeedInjectionNoGui-5-20200606-17:21:43-7714,param,,,**.traffic.platoonInsertSpeed,100kmph,,,
SinusoidalSpeedInjectionNoGui-5-20200606-17:21:43-7714,param,,,*.node[*].scenario.leaderOscillationFrequency,0.2 Hz,,,
SinusoidalSpeedInjectionNoGui-5-20200606-17:21:43-7714,param,,,*.node[*].scenario.oscillationAmplitude,10 kmph,,,
SinusoidalSpeedInjectionNoGui-5-20200606-17:21:43-7714,param,,,*.node[*].scenario.startOscillating,5 s,,,
SinusoidalSpeedInjectionNoGui-5-20200606-17:21:43-7714,param,,,*.node[*].prot.speedInjectionRate,0.13889mpsps,,,
SinusoidalSpeedInjectionNoGui-5-20200606-17:21:43-7714,param,,,*.node[*].prot.speedInjectionLimit,10kmph,,,
SinusoidalSpeedInjectionNoGui-5-20200606-17:21:43-7714,param,,,*.node[0].protocol_type,"""InjectedBeaconing""",,,
SinusoidalSpeedInjectionNoGui-5-20200606-17:21:43-7714,param,,,*.node[*].prot.attackStart,10s,,,
SinusoidalSpeedInjectionNoGui-5-20200606-17:21:43-7714,param,,,*.manager.useGui,false,,,
SinusoidalSpeedInjectionNoGui-5-20200606-17:21:43-7714,param,,,*.playgroundSizeX,65000m,,,
SinusoidalSpeedInjectionNoGui-5-20200606-17:21:43-7714,param,,,*.playgroundSizeY,25000m,,,
