run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
SinusoidalAllInjectionNoGui-2-20200606-17:22:26-7932,param,,,*.**.nic.mac1609_4.bitrate,6Mbps,,,
SinusoidalAllInjectionNoGui-2-20200606-17:22:26-7932,param,,,*.**.nic.phy80211p.sensitivity,-94dBm,,,
SinusoidalAllInjectionNoGui-2-20200606-17:22:26-7932,param,,,*.**.nic.phy80211p.maxTXPower,100mW,,,
SinusoidalAllInjectionNoGui-2-20200606-17:22:26-7932,param,,,*.**.nic.phy80211p.useThermalNoise,true,,,
SinusoidalAllInjectionNoGui-2-20200606-17:22:26-7932,param,,,*.**.nic.phy80211p.thermalNoise,-95dBm,,,
SinusoidalAllInjectionNoGui-2-20200606-17:22:26-7932,param,,,*.**.nic.phy80211p.decider,"xmldoc(""config.xml"")",,,
SinusoidalAllInjectionNoGui-2-20200606-17:22:26-7932,param,,,*.**.nic.phy80211p.analogueModels,"xmldoc(""config.xml"")",,,
SinusoidalAllInjectionNoGui-2-20200606-17:22:26-7932,param,,,*.**.nic.phy80211p.usePropagationDelay,true,,,
SinusoidalAllInjectionNoGui-2-20200606-17:22:26-7932,param,,,*.node[*].mobility.x,0,,,
SinusoidalAllInjectionNoGui-2-20200606-17:22:26-7932,param,,,*.node[*].mobility.y,0,,,
SinusoidalAllInjectionNoGui-2-20200606-17:22:26-7932,param,,,*.node[*].mobility.z,1.895,,,
SinusoidalAllInjectionNoGui-2-20200606-17:22:26-7932,param,,,**.seed,0,,,
SinusoidalAllInjectionNoGui-2-20200606-17:22:26-7932,param,,,*.manager.configFile,"""./sumocfg/freeway.sumo.cfg""",,,
SinusoidalAllInjectionNoGui-2-20200606-17:22:26-7932,param,,,**.numberOfCars,8,,,
SinusoidalAllInjectionNoGui-2-20200606-17:22:26-7932,param,,,**.numberOfCarsPerPlatoon,8,,,
SinusoidalAllInjectionNoGui-2-20200606-17:22:26-7932,param,,,**.numberOfLanes,1,,,
SinusoidalAllInjectionNoGui-2-20200606-17:22:26-7932,param,,,*.node[*].helper_type,"""PositionHelper""",,,
SinusoidalAllInjectionNoGui-2-20200606-17:22:26-7932,param,,,*.node[*].helper.nLanes,1,,,
SinusoidalAllInjectionNoGui-2-20200606-17:22:26-7932,param,,,*.node[*].helper.platoonSize,8,,,
SinusoidalAllInjectionNoGui-2-20200606-17:22:26-7932,param,,,*.node[*].helper.nCars,8,,,
SinusoidalAllInjectionNoGui-2-20200606-17:22:26-7932,param,,,*.node[*].scenario.caccC1,0.5,,,
SinusoidalAllInjectionNoGui-2-20200606-17:22:26-7932,param,,,*.node[*].scenario.caccXi,1,,,
SinusoidalAllInjectionNoGui-2-20200606-17:22:26-7932,param,,,*.node[*].scenario.caccOmegaN,0.2 Hz,,,
SinusoidalAllInjectionNoGui-2-20200606-17:22:26-7932,param,,,*.node[*].scenario.engineTau,0.5 s,,,
SinusoidalAllInjectionNoGui-2-20200606-17:22:26-7932,param,,,*.node[*].scenario.ploegKp,0.2,,,
SinusoidalAllInjectionNoGui-2-20200606-17:22:26-7932,param,,,*.node[*].scenario.ploegKd,0.7,,,
SinusoidalAllInjectionNoGui-2-20200606-17:22:26-7932,param,,,*.node[*].scenario.useRealisticEngine,false,,,
SinusoidalAllInjectionNoGui-2-20200606-17:22:26-7932,param,,,*.node[*].scenario.useControllerAcceleration,true,,,
SinusoidalAllInjectionNoGui-2-20200606-17:22:26-7932,param,,,**.numericController,2,,,
SinusoidalAllInjectionNoGui-2-20200606-17:22:26-7932,param,,,*.node[*].scenario.controller,"""CONSENSUS""",,,
SinusoidalAllInjectionNoGui-2-20200606-17:22:26-7932,param,,,*.node[*].scenario.spacing,10m,,,
SinusoidalAllInjectionNoGui-2-20200606-17:22:26-7932,param,,,*.node[*].scenario.headway,0s,,,
SinusoidalAllInjectionNoGui-2-20200606-17:22:26-7932,param,,,*.node[*].scenario.leaderHeadway,2s,,,
SinusoidalAllInjectionNoGui-2-20200606-17:22:26-7932,param,,,*.node[*].scenario.usePrediction,true,,,
SinusoidalAllInjectionNoGui-2-20200606-17:22:26-7932,param,,,*.node[*].scenario.useRadarPredSpeed,false,,,
SinusoidalAllInjectionNoGui-2-20200606-17:22:26-7932,param,,,*.node[*].appl_type,"""SimplePlatooningApp""",,,
SinusoidalAllInjectionNoGui-2-20200606-17:22:26-7932,param,,,*.node[*].protocol_type,"""SimplePlatooningBeaconing""",,,
SinusoidalAllInjectionNoGui-2-20200606-17:22:26-7932,param,,,*.node[*].prot.beaconingInterval,0.1s,,,
SinusoidalAllInjectionNoGui-2-20200606-17:22:26-7932,param,,,*.node[*].prot.priority,4,,,
SinusoidalAllInjectionNoGui-2-20200606-17:22:26-7932,param,,,*.node[*].prot.packetSize,200,,,
SinusoidalAllInjectionNoGui-2-20200606-17:22:26-7932,param,,,*.node[*].unicast.packetLossRate,0,,,
SinusoidalAllInjectionNoGui-2-20200606-17:22:26-7932,param,,,**.traffic_type,"""PlatoonsTrafficManager""",,,
SinusoidalAllInjectionNoGui-2-20200606-17:22:26-7932,param,,,**.traffic.platoonInsertTime,1 s,,,
SinusoidalAllInjectionNoGui-2-20200606-17:22:26-7932,param,,,**.traffic.nCars,8,,,
SinusoidalAllInjectionNoGui-2-20200606-17:22:26-7932,param,,,**.traffic.platoonSize,8,,,
SinusoidalAllInjectionNoGui-2-20200606-17:22:26-7932,param,,,**.traffic.nLanes,1,,,
SinusoidalAllInjectionNoGui-2-20200606-17:22:26-7932,param,,,**.traffic.platooningVType,"""vtypeauto""",,,
SinusoidalAllInjectionNoGui-2-20200606-17:22:26-7932,param,,,**.traffic.platoonInsertDistance,10m,,,
SinusoidalAllInjectionNoGui-2-20200606-17:22:26-7932,param,,,**.traffic.platoonInsertHeadway,0s,,,
SinusoidalAllInjectionNoGui-2-20200606-17:22:26-7932,param,,,**.traffic.platoonLeaderHeadway,2s,,,
