run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
RandomCoordinatedInjectionNoGui-5-20200606-16:34:35-5004,runattr,,,configname,RandomCoordinatedInjectionNoGui,,,
RandomCoordinatedInjectionNoGui-5-20200606-16:34:35-5004,runattr,,,datetime,20200606-16:34:35,,,
RandomCoordinatedInjectionNoGui-5-20200606-16:34:35-5004,runattr,,,experiment,RandomCoordinatedInjectionNoGui,,,
RandomCoordinatedInjectionNoGui-5-20200606-16:34:35-5004,runattr,,,inifile,omnetpp.ini,,,
RandomCoordinatedInjectionNoGui-5-20200606-16:34:35-5004,runattr,,,iterationvars,"$leaderSpeed=100, $attackStart=10, $nCars=8, $platoonSize=8, $nLanes=1, $controller=3, $sController=""FLATBED"", $spacing=10, $headway=0, $leaderHeadway=2, $radar=true, $beaconInterval=0.1, $priority=4, $packetSize=200",,,
RandomCoordinatedInjectionNoGui-5-20200606-16:34:35-5004,runattr,,,iterationvarsf,"leaderSpeed=100,attackStart=10,nCars=8,platoonSize=8,nLanes=1,controller=3,sController=FLATBED,spacing=10,headway=0,leaderHeadway=2,radar=true,beaconInterval=0.1,priority=4,packetSize=200-",,,
RandomCoordinatedInjectionNoGui-5-20200606-16:34:35-5004,runattr,,,measurement,"$leaderSpeed=100, $attackStart=10, $nCars=8, $platoonSize=8, $nLanes=1, $controller=3, $sController=""FLATBED"", $spacing=10, $headway=0, $leaderHeadway=2, $radar=true, $beaconInterval=0.1, $priority=4, $packetSize=200",,,
RandomCoordinatedInjectionNoGui-5-20200606-16:34:35-5004,runattr,,,network,Highway,,,
RandomCoordinatedInjectionNoGui-5-20200606-16:34:35-5004,runattr,,,processid,5004,,,
RandomCoordinatedInjectionNoGui-5-20200606-16:34:35-5004,runattr,,,repetition,0,,,
RandomCoordinatedInjectionNoGui-5-20200606-16:34:35-5004,runattr,,,replication,#0,,,
RandomCoordinatedInjectionNoGui-5-20200606-16:34:35-5004,runattr,,,resultdir,results,,,
RandomCoordinatedInjectionNoGui-5-20200606-16:34:35-5004,runattr,,,runnumber,5,,,
RandomCoordinatedInjectionNoGui-5-20200606-16:34:35-5004,runattr,,,seedset,0,,,
RandomCoordinatedInjectionNoGui-5-20200606-16:34:35-5004,itervar,,,attackStart,10,,,
RandomCoordinatedInjectionNoGui-5-20200606-16:34:35-5004,itervar,,,beaconInterval,0.1,,,
RandomCoordinatedInjectionNoGui-5-20200606-16:34:35-5004,itervar,,,controller,3,,,
RandomCoordinatedInjectionNoGui-5-20200606-16:34:35-5004,itervar,,,headway,0,,,
RandomCoordinatedInjectionNoGui-5-20200606-16:34:35-5004,itervar,,,leaderHeadway,2,,,
RandomCoordinatedInjectionNoGui-5-20200606-16:34:35-5004,itervar,,,leaderSpeed,100,,,
RandomCoordinatedInjectionNoGui-5-20200606-16:34:35-5004,itervar,,,nCars,8,,,
RandomCoordinatedInjectionNoGui-5-20200606-16:34:35-5004,itervar,,,nLanes,1,,,
RandomCoordinatedInjectionNoGui-5-20200606-16:34:35-5004,itervar,,,packetSize,200,,,
RandomCoordinatedInjectionNoGui-5-20200606-16:34:35-5004,itervar,,,platoonSize,8,,,
RandomCoordinatedInjectionNoGui-5-20200606-16:34:35-5004,itervar,,,priority,4,,,
RandomCoordinatedInjectionNoGui-5-20200606-16:34:35-5004,itervar,,,radar,true,,,
RandomCoordinatedInjectionNoGui-5-20200606-16:34:35-5004,itervar,,,sController,"""FLATBED""",,,
RandomCoordinatedInjectionNoGui-5-20200606-16:34:35-5004,itervar,,,spacing,10,,,
RandomCoordinatedInjectionNoGui-5-20200606-16:34:35-5004,param,,,*.node[*].scenario_type,"""RandomScenario""",,,
RandomCoordinatedInjectionNoGui-5-20200606-16:34:35-5004,param,,,*.node[*].scenario.avgSpeed,100kmph,,,
RandomCoordinatedInjectionNoGui-5-20200606-16:34:35-5004,param,,,*.node[*].scenario.maxSpeed,150kmph,,,
RandomCoordinatedInjectionNoGui-5-20200606-16:34:35-5004,param,,,**.traffic.platoonInsertSpeed,100kmph,,,
RandomCoordinatedInjectionNoGui-5-20200606-16:34:35-5004,param,,,*.node[*].scenario.startTime,5s,,,
RandomCoordinatedInjectionNoGui-5-20200606-16:34:35-5004,param,,,*.node[*].scenario.accelerationProbability,0.2,,,
RandomCoordinatedInjectionNoGui-5-20200606-16:34:35-5004,param,,,*.node[*].scenario.decelerationProbability,0.2,,,
RandomCoordinatedInjectionNoGui-5-20200606-16:34:35-5004,param,,,*.node[*].scenario.avgAcceleration,0.50mpsps,,,
RandomCoordinatedInjectionNoGui-5-20200606-16:34:35-5004,param,,,*.node[*].scenario.avgDeceleration,0.75mpsps,,,
RandomCoordinatedInjectionNoGui-5-20200606-16:34:35-5004,param,,,*.node[*].scenario.minStepDuration,0.5s,,,
RandomCoordinatedInjectionNoGui-5-20200606-16:34:35-5004,param,,,*.node[*].scenario.meanStepDuration,2s,,,
RandomCoordinatedInjectionNoGui-5-20200606-16:34:35-5004,param,,,*.node[*].prot.coordinatedAttack,true,,,
RandomCoordinatedInjectionNoGui-5-20200606-16:34:35-5004,param,,,*.node[*].prot.accelerationInjectionRate,0.05mpspsps,,,
RandomCoordinatedInjectionNoGui-5-20200606-16:34:35-5004,param,,,*.node[*].prot.accelerationInjectionLimit,1mpsps,,,
RandomCoordinatedInjectionNoGui-5-20200606-16:34:35-5004,param,,,*.node[4].protocol_type,"""InjectedBeaconing""",,,
