run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
ConstantAccelerationInjectionNoGui-3-20200606-16:28:23-3364,itervar,,,headway,0,,,
ConstantAccelerationInjectionNoGui-3-20200606-16:28:23-3364,itervar,,,leaderHeadway,2,,,
ConstantAccelerationInjectionNoGui-3-20200606-16:28:23-3364,itervar,,,leaderSpeed,100,,,
ConstantAccelerationInjectionNoGui-3-20200606-16:28:23-3364,itervar,,,nCars,8,,,
ConstantAccelerationInjectionNoGui-3-20200606-16:28:23-3364,itervar,,,nLanes,1,,,
ConstantAccelerationInjectionNoGui-3-20200606-16:28:23-3364,itervar,,,packetSize,200,,,
ConstantAccelerationInjectionNoGui-3-20200606-16:28:23-3364,itervar,,,platoonSize,8,,,
ConstantAccelerationInjectionNoGui-3-20200606-16:28:23-3364,itervar,,,priority,4,,,
ConstantAccelerationInjectionNoGui-3-20200606-16:28:23-3364,itervar,,,radar,true,,,
ConstantAccelerationInjectionNoGui-3-20200606-16:28:23-3364,itervar,,,sController,"""CONSENSUS""",,,
ConstantAccelerationInjectionNoGui-3-20200606-16:28:23-3364,itervar,,,spacing,10,,,
ConstantAccelerationInjectionNoGui-3-20200606-16:28:23-3364,param,,,*.node[*].scenario_type,"""SimpleScenario""",,,
ConstantAccelerationInjectionNoGui-3-20200606-16:28:23-3364,param,,,*.node[*].scenario.leaderSpeed,100kmph,,,
ConstantAccelerationInjectionNoGui-3-20200606-16:28:23-3364,param,,,**.traffic.platoonInsertSpeed,100kmph,,,
ConstantAccelerationInjectionNoGui-3-20200606-16:28:23-3364,param,,,*.node[*].prot.accelerationInjectionRate,0.05mpspsps,,,
ConstantAccelerationInjectionNoGui-3-20200606-16:28:23-3364,param,,,*.node[*].prot.accelerationInjectionLimit,1mpsps,,,
ConstantAccelerationInjectionNoGui-3-20200606-16:28:23-3364,param,,,*.node[4].protocol_type,"""InjectedBeaconing""",,,
ConstantAccelerationInjectionNoGui-3-20200606-16:28:23-3364,param,,,*.node[*].prot.attackStart,10s,,,
ConstantAccelerationInjectionNoGui-3-20200606-16:28:23-3364,param,,,*.manager.useGui,false,,,
ConstantAccelerationInjectionNoGui-3-20200606-16:28:23-3364,param,,,*.playgroundSizeX,65000m,,,
ConstantAccelerationInjectionNoGui-3-20200606-16:28:23-3364,param,,,*.playgroundSizeY,25000m,,,
ConstantAccelerationInjectionNoGui-3-20200606-16:28:23-3364,param,,,*.playgroundSizeZ,50m,,,
ConstantAccelerationInjectionNoGui-3-20200606-16:28:23-3364,param,,,**.debug,false,,,
ConstantAccelerationInjectionNoGui-3-20200606-16:28:23-3364,param,,,**.coreDebug,false,,,
ConstantAccelerationInjectionNoGui-3-20200606-16:28:23-3364,param,,,*.annotations.draw,false,,,
ConstantAccelerationInjectionNoGui-3-20200606-16:28:23-3364,param,,,*.obstacles.debug,false,,,
ConstantAccelerationInjectionNoGui-3-20200606-16:28:23-3364,param,,,*.world.useTorus,false,,,
ConstantAccelerationInjectionNoGui-3-20200606-16:28:23-3364,param,,,*.world.use2D,false,,,
ConstantAccelerationInjectionNoGui-3-20200606-16:28:23-3364,param,,,*.manager.updateInterval,0.01s,,,
ConstantAccelerationInjectionNoGui-3-20200606-16:28:23-3364,param,,,*.manager.host,"""localhost""",,,
ConstantAccelerationInjectionNoGui-3-20200606-16:28:23-3364,param,,,*.manager.moduleType,"""org.car2x.veins.modules.application.platooning.PlatoonCar""",,,
ConstantAccelerationInjectionNoGui-3-20200606-16:28:23-3364,param,,,*.manager.moduleName,"""node""",,,
ConstantAccelerationInjectionNoGui-3-20200606-16:28:23-3364,param,,,*.manager.moduleDisplayString,"""""",,,
ConstantAccelerationInjectionNoGui-3-20200606-16:28:23-3364,param,,,*.manager.autoShutdown,true,,,
ConstantAccelerationInjectionNoGui-3-20200606-16:28:23-3364,param,,,*.manager.margin,25,,,
