run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
SinusoidalNoAttackNoGui-4-20200606-16:29:50-3776,param,,,*.node[*].scenario.useRealisticEngine,false,,,
SinusoidalNoAttackNoGui-4-20200606-16:29:50-3776,param,,,*.node[*].scenario.useControllerAcceleration,true,,,
SinusoidalNoAttackNoGui-4-20200606-16:29:50-3776,param,,,**.numericController,3,,,
SinusoidalNoAttackNoGui-4-20200606-16:29:50-3776,param,,,*.node[*].scenario.controller,"""FLATBED""",,,
SinusoidalNoAttackNoGui-4-20200606-16:29:50-3776,param,,,*.node[*].scenario.spacing,10m,,,
SinusoidalNoAttackNoGui-4-20200606-16:29:50-3776,param,,,*.node[*].scenario.headway,0s,,,
SinusoidalNoAttackNoGui-4-20200606-16:29:50-3776,param,,,*.node[*].scenario.leaderHeadway,2s,,,
SinusoidalNoAttackNoGui-4-20200606-16:29:50-3776,param,,,*.node[*].scenario.usePrediction,true,,,
SinusoidalNoAttackNoGui-4-20200606-16:29:50-3776,param,,,*.node[*].scenario.useRadarPredSpeed,false,,,
SinusoidalNoAttackNoGui-4-20200606-16:29:50-3776,param,,,*.node[*].appl_type,"""SimplePlatooningApp""",,,
SinusoidalNoAttackNoGui-4-20200606-16:29:50-3776,param,,,*.node[*].protocol_type,"""SimplePlatooningBeaconing""",,,
SinusoidalNoAttackNoGui-4-20200606-16:29:50-3776,param,,,*.node[*].prot.beaconingInterval,0.1s,,,
SinusoidalNoAttackNoGui-4-20200606-16:29:50-3776,param,,,*.node[*].prot.priority,4,,,
SinusoidalNoAttackNoGui-4-20200606-16:29:50-3776,param,,,*.node[*].prot.packetSize,200,,,
SinusoidalNoAttackNoGui-4-20200606-16:29:50-3776,param,,,*.node[*].unicast.packetLossRate,0,,,
SinusoidalNoAttackNoGui-4-20200606-16:29:50-3776,param,,,**.traffic_type,"""PlatoonsTrafficManager""",,,
SinusoidalNoAttackNoGui-4-20200606-16:29:50-3776,param,,,**.traffic.platoonInsertTime,1 s,,,
SinusoidalNoAttackNoGui-4-20200606-16:29:50-3776,param,,,**.traffic.nCars,8,,,
SinusoidalNoAttackNoGui-4-20200606-16:29:50-3776,param,,,**.traffic.platoonSize,8,,,
SinusoidalNoAttackNoGui-4-20200606-16:29:50-3776,param,,,**.traffic.nLanes,1,,,
SinusoidalNoAttackNoGui-4-20200606-16:29:50-3776,param,,,**.traffic.platooningVType,"""vtypeauto""",,,
SinusoidalNoAttackNoGui-4-20200606-16:29:50-3776,param,,,**.traffic.platoonInsertDistance,10m,,,
SinusoidalNoAttackNoGui-4-20200606-16:29:50-3776,param,,,**.traffic.platoonInsertHeadway,0s,,,
SinusoidalNoAttackNoGui-4-20200606-16:29:50-3776,param,,,**.traffic.platoonLeaderHeadway,2s,,,
SinusoidalNoAttackNoGui-4-20200606-16:29:50-3776,param,,,*.node[*].sensors[8].minValue,0,,,
SinusoidalNoAttackNoGui-4-20200606-16:29:50-3776,param,,,*.node[*].sensors[8].maxValue,250,,,
SinusoidalNoAttackNoGui-4-20200606-16:29:50-3776,param,,,*.node[*].scenario_type,"""SinusoidalScenario""",,,
SinusoidalNoAttackNoGui-4-20200606-16:29:50-3776,param,,,*.node[*].scenario.leaderSpeed,100kmph,,,
