Time,V2XSpeed,V2XSpeedInj,KFSpeed,KFSpeedInj
1.15,26.33,26.33,26.33,26.33
1.25,26.31,26.31,26.34880921164459,26.34880921164459
1.35,26.31,26.31,26.38541525897854,26.38541525897854
1.45,26.53,26.53,26.487563562317852,26.487563562317852
1.55,26.62,26.62,26.592970771233073,26.592970771233073
1.65,26.66,26.66,26.693396797508612,26.693396797508612
1.75,26.72,26.72,26.79528629688751,26.79528629688751
1.85,26.84,26.84,26.90592259468008,26.90592259468008
1.95,27.05,27.05,27.033858410232963,27.033858410232963
2.05,27.07,27.07,27.15502725791583,27.15502725791583
2.15,27.2,27.2,27.281895534493703,27.281895534493703
2.25,27.33,27.33,27.411403610371316,27.411403610371316
2.35,27.56,27.56,27.55117259553051,27.55117259553051
2.45,27.61,27.61,27.687381065162853,27.687381065162853
2.55,27.92,27.92,27.835940492724117,27.835940492724117
2.65,27.88,27.88,27.974085063313467,27.974085063313467
2.75,28.21,28.21,28.124422538005838,28.124422538005838
2.85,28.36,28.36,28.276901486092132,28.276901486092132
2.95,28.39,28.39,28.4207793856997,28.4207793856997
3.05,28.46,28.46,28.563479238927467,28.563479238927467
3.15,28.76,28.76,28.71363545351098,28.71363545351098
3.25,28.91,28.91,28.86493317779794,28.86493317779794
3.35,29.06,29.06,29.014073383524803,29.014073383524803
3.45,29.08,29.08,29.154429226434043,29.154429226434043
3.55,29.32,29.32,29.294139347364098,29.294139347364098
3.65,29.45,29.45,29.426052867027927,29.426052867027927
3.75,29.51,29.51,29.547248344676312,29.547248344676312
3.85,29.71,29.71,29.663795417046547,29.663795417046547
3.95,29.7,29.7,29.764976964263823,29.764976964263823
4.05,29.8,29.8,29.85816633696963,29.85816633696963
4.15,29.93,29.93,29.942911532808473,29.942911532808473
4.25,30.07,30.07,30.022032965323728,30.022032965323728
4.35,30.16,30.16,30.091338499099088,30.091338499099088
4.45,30.08,30.08,30.147011208337894,30.147011208337894
4.55,30.28,30.28,30.200095621118404,30.200095621118404
4.65,30.33,30.33,30.244938763082803,30.244938763082803
4.75,30.26,30.26,30.279442212378264,30.279442212378264
4.85,30.36,30.36,30.310291522686153,30.310291522686153
4.95,30.33,30.33,30.33494040694835,30.33494040694835
5.05,30.37,30.37,30.3544455454518,30.3544455454518
5.15,30.45,30.45,30.372869927477048,30.372869927477048
5.25,30.45,30.45,30.388757890069765,30.388757890069765
5.35,30.38,30.38,30.39765842612107,30.39765842612107
5.45,30.51,30.51,30.410540321225056,30.410540321225056
5.55,30.43,30.43,30.418376959257596,30.418376959257596
5.65,30.44,30.44,30.4236747103194,30.4236747103194
5.75,30.39,30.39,30.42703832436525,30.42703832436525
5.85,30.49,30.49,30.433226230186317,30.433226230186317
5.95,30.43,30.43,30.4365283592386,30.4365283592386
6.05,30.42,30.42,30.438158154356213,30.438158154356213
6.15,30.38,30.38,30.43750746697089,30.43750746697089
6.25,30.52,30.52,30.44175253355641,30.44175253355641
6.35,30.55,30.55,30.44721672503777,30.44721672503777
6.45,30.39,30.39,30.44742751214895,30.44742751214895
6.55,30.54,30.54,30.451088171572916,30.451088171572916
6.65,30.39,30.39,30.451853656773743,30.451853656773743
6.75,30.43,30.43,30.452184433570842,30.452184433570842
6.85,30.51,30.51,30.4538574242479,30.4538574242479
6.95,30.54,30.54,30.45626138374109,30.45626138374109
7.05,30.5,30.5,30.45797222480588,30.45797222480588
7.15,30.49,30.49,30.458555486046613,30.458555486046613
7.25,30.39,30.39,30.457714789693302,30.457714789693302
7.35,30.49,30.49,30.458055838578574,30.458055838578574
