Time,V2XSpeed,V2XSpeedInj,KFSpeed,KFSpeedInj
3.95,29.7,29.7,29.764976964263823,29.764976964263823
4.05,29.8,29.8,29.85816633696963,29.85816633696963
4.15,29.93,29.93,29.942911532808473,29.942911532808473
4.25,30.07,30.07,30.022032965323728,30.022032965323728
4.35,30.16,30.16,30.091338499099088,30.091338499099088
4.45,30.08,30.08,30.147011208337894,30.147011208337894
4.55,30.28,30.28,30.200095621118404,30.200095621118404
4.65,30.33,30.33,30.244938763082803,30.244938763082803
4.75,30.26,30.26,30.279442212378264,30.279442212378264
4.85,30.36,30.36,30.310291522686153,30.310291522686153
4.95,30.33,30.33,30.33494040694835,30.33494040694835
5.05,30.37,30.37,30.3544455454518,30.3544455454518
5.15,30.45,30.45,30.372869927477048,30.372869927477048
5.25,30.45,30.45,30.388757890069765,30.388757890069765
5.35,30.38,30.38,30.39765842612107,30.39765842612107
5.45,30.51,30.51,30.410540321225056,30.410540321225056
5.55,30.43,30.43,30.418376959257596,30.418376959257596
5.65,30.44,30.44,30.4236747103194,30.4236747103194
5.75,30.39,30.39,30.42703832436525,30.42703832436525
5.85,30.49,30.49,30.433226230186317,30.433226230186317
5.95,30.43,30.43,30.4365283592386,30.4365283592386
6.05,30.42,30.42,30.438158154356213,30.438158154356213
6.15,30.38,30.38,30.43750746697089,30.43750746697089
6.25,30.52,30.52,30.44175253355641,30.44175253355641
6.35,30.55,30.55,30.44721672503777,30.44721672503777
6.45,30.39,30.39,30.44742751214895,30.44742751214895
6.55,30.54,30.54,30.451088171572916,30.451088171572916
6.65,30.39,30.39,30.451853656773743,30.451853656773743
6.75,30.43,30.43,30.452184433570842,30.452184433570842
6.85,30.51,30.51,30.4538574242479,30.4538574242479
6.95,30.54,30.54,30.45626138374109,30.45626138374109
7.05,30.5,30.5,30.45797222480588,30.45797222480588
7.15,30.49,30.49,30.458555486046613,30.458555486046613
7.25,30.39,30.39,30.457714789693302,30.457714789693302
7.35,30.49,30.49,30.458055838578574,30.458055838578574
7.45,30.45,30.45,30.45881014995927,30.45881014995927
7.55,30.56,30.56,30.462487584238257,30.462487584238257
7.65,30.45,30.45,30.4627423150896,30.4627423150896
7.75,30.39,30.39,30.459744199821372,30.459744199821372
7.85,30.59,30.59,30.463037940269388,30.463037940269388
7.95,30.53,30.53,30.465084095427414,30.465084095427414
8.05,30.53,30.53,30.4679196675287,30.4679196675287
8.15,30.45,30.45,30.468662587405035,30.468662587405035
8.25,30.44,30.44,30.46812931062904,30.46812931062904
8.35,30.58,30.58,30.46921498829895,30.46921498829895
8.45,30.56,30.56,30.471028356752143,30.471028356752143
8.55,30.46,30.46,30.469421252009955,30.469421252009955
8.65,30.55,30.55,30.470966592673587,30.470966592673587
8.75,30.53,30.53,30.473665452728,30.473665452728
8.85,30.55,30.55,30.474855292919024,30.474855292919024
8.95,30.44,30.44,30.47410648168246,30.47410648168246
9.05,30.45,30.45,30.474144451903175,30.474144451903175
9.15,30.44,30.44,30.474574724353566,30.474574724353566
9.25,30.48,30.48,30.47585079862197,30.47585079862197
9.35,30.55,30.55,30.476499150716787,30.476499150716787
9.45,30.57,30.57,30.47858785479745,30.47858785479745
9.55,30.44,30.44,30.47878013972614,30.47878013972614
9.65,30.47,30.47,30.478594891084327,30.478594891084327
9.75,30.45,30.45,30.479137999611655,30.479137999611655
9.85,30.52,30.52,30.481125481832,30.481125481832
9.95,30.5,30.5,30.480313845611636,30.480313845611636
10.05,30.49,30.49,30.479878878180898,30.479878878180898
10.15,30.49,30.49,30.478613902520053,30.478613902520053
10.25,30.48,30.48,30.479618429202656,30.479618429202656
10.35,30.58,30.58,30.482070796528472,30.482070796528472
10.45,30.5,30.5,30.483400399366495,30.483400399366495
10.55,30.52,30.52,30.48338874944347,30.48338874944347
10.65,30.47,30.47,30.482783696405786,30.482783696405786
10.75,30.49,30.49,30.483055241262267,30.483055241262267
10.85,30.45,30.45,30.481383933283272,30.481383933283272
10.95,30.54,30.54,30.48211682046699,30.48211682046699
11.05,30.43,30.43,30.48003106161174,30.48003106161174
11.15,30.45,30.45,30.479578070905415,30.479578070905415
11.25,30.52,30.52,30.48094375926894,30.48094375926894
11.35,30.42,30.42,30.47915044505262,30.47915044505262
11.45,30.42,30.42,30.477811145166253,30.477811145166253
11.55,30.57,30.57,30.480376999890623,30.480376999890623
11.65,30.56,30.56,30.48165010081087,30.48165010081087
11.75,30.57,30.57,30.48456356206516,30.48456356206516
11.85,30.44,30.44,30.484086433733832,30.484086433733832
11.95,30.48,30.48,30.485155901305223,30.485155901305223
